seed,budget_id,client_id,modal_alpha,modal_frequency,median_alpha,percentile_5,percentile_95,instability
2,false_positive_0p020,Ennio_Doorbell,0.014882327366835047,0.11,0.014882327366835047,0.011606788033885233,0.02,0.89
2,false_positive_0p020,Ecobee_Thermostat,0.0007774278625536144,0.45,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.55
2,false_positive_0p020,Philips_B120N10_Baby_Monitor,0.011251675622784191,0.132,0.011973108093406433,0.010250207408245643,0.013985601628028964,0.868
2,false_positive_0p020,Provision_PT_737E_Security_Camera,0.014882327366835047,0.12,0.013557708855254222,0.004029232021932428,0.015836549169952394,0.88
2,false_positive_0p020,Provision_PT_838_Security_Camera,0.003454720383954872,0.066,0.0044296733570729436,0.0030509388445493866,0.009632587288454567,0.9339999999999999
2,false_positive_0p020,SimpleHome_XCS7_1002_WHT_Security_Camera,0.022289683600944528,0.118,0.021607725486167025,0.007512494257056929,0.02527947781829815,0.882
2,false_positive_0p020,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0007774278625536144,0.186,0.0010282855942978896,0.0005190713408839703,0.0324135724247067,0.8140000000000001
2,false_positive_0p020,Samsung_SNH_1011_N_Webcam,0.028580031554293065,0.138,0.026036233267558315,0.012350989524223123,0.030460511995148976,0.862
3,false_positive_0p001,Danmini_Doorbell,0.00020435325068186532,0.388,0.0003060656568188345,0.00020435325068186532,0.0005190713408839703,0.612
3,false_positive_0p001,Ennio_Doorbell,0.0005190713408839703,0.208,0.0006451950121482159,0.000262023564680056,0.0011643757492860373,0.792
3,false_positive_0p001,Ecobee_Thermostat,0.0007774278625536144,0.424,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.5760000000000001
3,false_positive_0p001,Philips_B120N10_Baby_Monitor,0.0001,0.082,0.0009367618628394448,0.0001,0.0012011244339814311,0.918
3,false_positive_0p001,Provision_PT_737E_Security_Camera,0.00032568990749704533,0.188,0.00032568990749704533,0.0001644059762524425,0.0007305844114432468,0.812
3,false_positive_0p001,Provision_PT_838_Security_Camera,0.0014472951337022918,0.06,0.0012781378670897654,0.00015449979243554535,0.001914303317860402,0.94
3,false_positive_0p001,SimpleHome_XCS7_1002_WHT_Security_Camera,0.00021745592760409819,0.124,0.0007536422741614974,0.00021745592760409819,0.002101335038241075,0.876
3,false_positive_0p001,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.398,0.0007774278625536144,0.0005190713408839703,0.0013295577558221062,0.602
3,false_positive_0p001,Samsung_SNH_1011_N_Webcam,0.003454720383954872,0.108,0.0032465582724578485,0.0002828446643383738,0.004162766037009365,0.892
3,false_positive_0p0025,Danmini_Doorbell,0.00020435325068186532,0.444,0.0003060656568188345,0.00020435325068186532,0.0005190713408839703,0.556
3,false_positive_0p0025,Ennio_Doorbell,0.005505992973070277,0.12,0.005679766774033137,0.004294146458362655,0.007059833406580807,0.88
3,false_positive_0p0025,Ecobee_Thermostat,0.0007774278625536144,0.368,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.632
3,false_positive_0p0025,Philips_B120N10_Baby_Monitor,0.0009663268605244831,0.09,0.0009663268605244831,0.0006865634844764341,0.0012390329382863192,0.91
3,false_positive_0p0025,Provision_PT_737E_Security_Camera,0.0010607391584543395,0.112,0.0012390329382863192,0.0007305844114432468,0.0017989581158167555,0.888
3,false_positive_0p0025,Provision_PT_838_Security_Camera,0.0016388397980945052,0.078,0.0016905629699686757,0.0012011244339814311,0.0024545368255752074,0.922
3,false_positive_0p0025,SimpleHome_XCS7_1002_WHT_Security_Camera,0.0028671063483278964,0.088,0.002611916279593795,0.0018557347573939303,0.003563754284891536,0.912
3,false_positive_0p0025,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.382,0.0007774278625536144,0.0005190713408839703,0.0013295577558221062,0.618
3,false_positive_0p0025,Samsung_SNH_1011_N_Webcam,0.004035405230562632,0.132,0.003563754284891536,0.002611916279593795,0.004569477599477056,0.868
3,false_positive_0p005,Danmini_Doorbell,0.00020435325068186532,0.234,0.0005190713408839703,0.00020435325068186532,0.004862462362330365,0.766
3,false_positive_0p005,Ennio_Doorbell,0.005505992973070277,0.07,0.00684383614225036,0.004569477599477056,0.013985601628028964,0.9299999999999999
3,false_positive_0p005,Ecobee_Thermostat,0.0007774278625536144,0.386,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.614
3,false_positive_0p005,Philips_B120N10_Baby_Monitor,0.01057371263440564,0.034,0.005174232657970618,0.0017412507889997921,0.011251675622784191,0.966
3,false_positive_0p005,Provision_PT_737E_Security_Camera,0.003147229058161292,0.076,0.002611916279593795,0.0009663268605244831,0.003563754284891536,0.924
3,false_positive_0p005,Provision_PT_838_Security_Camera,0.003147229058161292,0.094,0.0032465582724578485,0.0022360679774997894,0.004294146458362655,0.906
3,false_positive_0p005,SimpleHome_XCS7_1002_WHT_Security_Camera,0.0023794396938173435,0.086,0.0026943505692708287,0.0018557347573939303,0.0036762293880767756,0.914
3,false_positive_0p005,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.414,0.0007774278625536144,0.0005190713408839703,0.0013184769805621352,0.5860000000000001
3,false_positive_0p005,Samsung_SNH_1011_N_Webcam,0.003454720383954872,0.096,0.0039119410579585324,0.0028671063483278964,0.010907427959462626,0.904
3,false_positive_0p010,Danmini_Doorbell,0.004862462362330365,0.144,0.004862462362330365,0.0036762293880767756,0.005859025023314181,0.856
3,false_positive_0p010,Ennio_Doorbell,0.013557708855254222,0.146,0.013142907562550378,0.010237697037833362,0.015836549169952394,0.854
3,false_positive_0p010,Ecobee_Thermostat,0.0007774278625536144,0.352,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.648
3,false_positive_0p010,Philips_B120N10_Baby_Monitor,0.011251675622784191,0.166,0.011251675622784191,0.009632587288454567,0.013142907562550378,0.834
3,false_positive_0p010,Provision_PT_737E_Security_Camera,0.003147229058161292,0.074,0.003147229058161292,0.0020370441982789467,0.011973108093406433,0.926
3,false_positive_0p010,Provision_PT_838_Security_Camera,0.0039119410579585324,0.094,0.0036762293880767756,0.002779386554939285,0.005008711632898523,0.906
3,false_positive_0p010,SimpleHome_XCS7_1002_WHT_Security_Camera,0.0025,0.07,0.0030509388445493866,0.0018557347573939303,0.00850674771490929,0.9299999999999999
3,false_positive_0p010,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.414,0.0007774278625536144,0.0005190713408839703,0.0013184769805621352,0.5860000000000001
3,false_positive_0p010,Samsung_SNH_1011_N_Webcam,0.013142907562550378,0.102,0.012350989524223123,0.008246481766840761,0.015836549169952394,0.898
3,false_positive_0p020,Danmini_Doorbell,0.004569477599477056,0.136,0.004862462362330365,0.0036762293880767756,0.00604394081474681,0.864
3,false_positive_0p020,Ennio_Doorbell,0.015352026221584282,0.086,0.015352026221584282,0.011606788033885233,0.02299316489133851,0.914
